window_index,window_start_time,window_end_time,activity,source_file,AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,accel_mag_mean,accel_mag_std,accel_mag_min,accel_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max
30,67.2,70.18,cycling,cycling-gisela-01.csv,7.902397853333333,0.5672111816425388,6.397307,9.150639,4.395850126666668,0.4357869372699201,3.337517,5.60722,5.608305773333333,0.42761570480099914,4.55856,6.464345,-0.09335866666666667,0.12280358177776773,-0.632315,0.14842,0.01603835333333333,0.15265667298274851,-0.340539,0.419812,-0.029070159999999998,0.10762801997720854,-0.344003,0.226626,10.656660109847204,0.595460400988889,8.931702261852104,11.988005929463373,0.21640286619881466,0.11382668101377305,0.03889398332647352,0.7235314327290833
31,69.44,72.42,cycling,cycling-gisela-01.csv,7.7884019533333335,0.6177841778939885,6.397307,9.198523,4.578415933333333,0.4053864534828409,3.672705,5.813122,5.665830453333333,0.3971099439304198,4.568137,6.493075,-0.07451444,0.08431093328360839,-0.24328,0.085668,0.020105473333333332,0.11653646186961954,-0.227692,0.315758,-0.01633768,0.10973562476366065,-0.344003,0.226626,10.67811978519707,0.6357529385549441,8.931702261852104,11.959972053530644,0.18125664757295487,0.07810612705403015,0.007348561900127127,0.39032070184529033
32,71.68,74.66,cycling,cycling-gisela-01.csv,7.805608286666668,0.631411648451841,6.172252,9.198523,4.47913634,0.4693772915379245,3.007117,5.621585,5.732421166666667,0.3546796713044493,5.013458,6.86657,-0.0832189,0.14971208140288256,-0.874796,0.182127,0.007676800000000001,0.13395336415359888,-0.423809,0.394764,-0.0017169133333333343,0.11584439024432368,-0.294175,0.266995,10.687979953451007,0.60225692583326,9.38670961234207,11.959972053530644,0.21623863988463984,0.1183437823665206,0.05012649915962614,1.0155890117178308
33,73.92,76.9,cycling,cycling-gisela-01.csv,7.67051152,0.5102419728508651,5.985504,9.097966,4.746361153333333,0.5747826283776007,3.007117,6.019023,5.60578386,0.41353765369807266,4.783615,6.684611,0.14279818000000002,0.4301965558152238,-0.479499,1.18709,0.16627257333333334,0.27591382972184986,-0.340406,0.861873,0.08964772666666668,0.24754775194465403,-0.294574,0.675349,10.643263421832014,0.5217115358348368,9.38670961234207,12.162226121094937,0.4584434880606205,0.41034324603364064,0.07893181445399568,1.6085951491363513
34,0.0,2.98,inclinewalk,inclinewalk-gisela-01.csv,7.504226213333334,0.46813131037158917,6.622362,9.289502,4.577394393333333,0.3527999500731049,3.873818,5.583278,6.005168646666667,0.35966240801705773,5.176264,6.971915,-0.10565594666666665,0.09504413164067779,-0.311761,0.115511,-0.04378685333333334,0.15364997542541886,-0.423009,0.387037,-0.011426820000000002,0.12849980249619425,-0.328415,0.277787,10.655590084636902,0.5092864541268843,9.640096808945282,12.576325464477293,0.22690219440584344,0.10430884492272378,0.019912331330107984,0.4437300259234212
35,2.24,5.22,inclinewalk,inclinewalk-gisela-01.csv,8.005284713333333,0.583623638683565,6.622362,10.510546,4.2025582,0.3832282741113622,3.371036,5.463568,5.5830868266666664,0.5317318237631039,4.271256,6.971915,-0.07822184666666669,0.1677725569429334,-0.49562,0.395164,-0.008811933333333334,0.1952314265402872,-0.619659,0.833095,0.014150939999999999,0.17706704122251662,-0.249675,0.501482,10.647795217850199,0.5582234972230734,9.572839083294935,12.76676237512209,0.28120155709362726,0.15791744272068073,0.03197084230982975,0.9696774870692833
36,4.48,7.46,inclinewalk,inclinewalk-gisela-01.csv,8.082761,0.5116820111393533,7.149086,10.084377,4.048020459999999,0.31490501699934076,3.394978,4.941632,5.703180026666667,0.2870556042050145,4.955997,6.38773,-0.06026314000000001,0.1004083824611624,-0.336009,0.150285,-0.00012438000000000097,0.15916237027076763,-0.323752,0.562369,0.01930167333333333,0.14469161126798824,-0.235819,0.443394,10.694819095432974,0.5549653416132411,9.572839083294935,12.835300427440606,0.22012502842707235,0.10908415887054329,0.03197084230982975,0.6207088589427413
37,6.72,9.7,inclinewalk,inclinewalk-gisela-01.csv,8.38206818,0.5316817852947139,7.369353,10.553641,3.810292193333333,0.2938283251437296,3.280056,4.644751,5.32049076,0.3763928949002745,4.343082,6.086061,-0.05789697333333333,0.10567632442939126,-0.263265,0.161876,0.0005071599999999954,0.12460185484184308,-0.323752,0.281518,-0.001239926666666666,0.12371278168996103,-0.266063,0.291776,10.64475315758292,0.5337957764179071,9.368650747520958,12.56758927519045,0.19694657568174043,0.08101765613866617,0.037531586177511865,0.3811598730244305
38,8.96,11.94,inclinewalk,inclinewalk-gisela-01.csv,8.57813742,0.5081409317542429,7.637504,10.314221,3.6910290266666665,0.3975908473410984,2.671929,4.601655,5.195321913333334,0.34264656805944976,4.43885,5.990293,-0.10608138,0.08012416460350107,-0.280052,0.040103,-0.02338382,0.1127099598191198,-0.29151,0.244479,-0.025312193333333333,0.13227806440916784,-0.34427,0.283649,10.696827774471295,0.5577406006178552,9.572704661455143,12.536356566369074,0.20006377009230628,0.0950587206308088,0.008304850149159828,0.4127837173884164
39,11.2,14.18,inclinewalk,inclinewalk-gisela-01.csv,8.58324506,0.5203505141673412,7.489063,10.907983,3.761865479999999,0.4144666087968442,2.99754,4.793192,4.992293646666665,0.3155836215114495,4.41012,5.985504,-0.04976631333333333,0.10443556594277874,-0.280718,0.133098,0.035103786666666664,0.12352434453869605,-0.263132,0.297905,-0.03621668,0.1327561418044539,-0.34427,0.213303,10.626080421952578,0.6125998856860806,9.558912618531513,12.919226033666954,0.19785520194163397,0.09830143981801708,0.008304850149159828,0.4230037442600243
